gene,log2FC,p_value
ENSG00000006210,0.08524807713242524,0.49391448066823085
ENSG00000006282,0.20471254403308528,0.036885853096738704
ENSG00000006283,2.1340570416758675,0.210081669904022
ENSG00000006327,-0.1724764402045818,0.655514116448499
ENSG00000006377,-0.2238790655031777,0.010478880316093642
ENSG00000006432,-0.1513810950065273,0.01983491217187342
ENSG00000006451,-0.0887087091278458,0.12283794041467683
ENSG00000006453,-0.27396044005514664,0.0018641434338133134
ENSG00000006459,-0.22957496131196317,0.006638859224649333
ENSG00000006468,0.05592507531151927,0.5935629923625934
ENSG00000006530,0.009405296959278128,0.8242074388083409
ENSG00000006534,0.09532627305283306,0.22364509374448552
ENSG00000006555,-0.30478369482524575,0.042984769079329015
ENSG00000006576,-0.057241832824108406,0.31988045657551895
ENSG00000006606,-0.6794255901956462,0.00041545171258517837
ENSG00000006607,0.12185377848583875,0.0375840118268781
ENSG00000006611,0.34489846156160053,0.11504778509222312
ENSG00000006634,-0.2140962051757411,0.07038987917597456
ENSG00000006638,-0.01616776591648103,0.8224352039495306
ENSG00000006652,0.20066449429286304,0.05387761648424632
ENSG00000006659,-0.28508115050088745,0.24103567908604637
ENSG00000006695,0.022986727190592512,0.6818981114738973
ENSG00000006704,-0.08748908835325976,0.47142542546153066
ENSG00000006712,-0.04603346865828923,0.4162808563316479
ENSG00000006715,0.24202991677109867,2.4840023054616382e-05
ENSG00000006740,0.24140751137246796,0.2855792875219771
ENSG00000006744,0.013769254605803041,0.7465179688488708
ENSG00000006747,-0.054590236971290174,0.908167242081406
ENSG00000006756,-0.01391293535166897,0.877706550473503
ENSG00000006757,-0.06337279482672882,0.4534931604949154
ENSG00000006788,0.6628662351129813,0.12364061874221341
ENSG00000006831,0.10632560777214321,0.08725452135411096
ENSG00000007001,-0.2910008236282515,0.5510671627988318
ENSG00000007038,0.2641828246119554,0.44566317134078204
ENSG00000007047,0.026338735935897303,0.6620841781389721
ENSG00000007062,0.23033760955951746,0.059201239466705614
ENSG00000007080,0.057799111695570754,0.49674206835240076
ENSG00000007129,0.11833707613341701,0.6104376377059011
ENSG00000007168,0.07237619438739432,0.07190297755155488
ENSG00000007171,0.2410546546543745,0.31328638715994334
ENSG00000007174,-0.8114192696553871,0.0890946288211239
ENSG00000007202,0.03158182291713367,0.5206935566785416
ENSG00000007216,-0.05778778839766692,0.6251168635370433
ENSG00000007237,0.2672108187996107,0.06688412897150756
ENSG00000007255,-0.11512169601097455,0.1639949324911924
ENSG00000007264,0.6047083728410367,0.013911860010791486
ENSG00000007306,0.5190816476071881,0.07808301376809804
ENSG00000007312,0.23724352793297174,0.04668827596050479
ENSG00000007314,-0.300691539963672,0.04538899382094138
ENSG00000007341,-0.15585528835294254,0.019664637456387805
ENSG00000007350,0.24865385866260964,0.7014563962668126
ENSG00000007372,-0.4087307461526296,0.6381303985644043
ENSG00000007376,-0.2410690998834029,0.0011480724572083094
ENSG00000007384,0.1730655400341835,0.061248022313869055
ENSG00000007392,0.29996980365598747,0.0024529868212198355
ENSG00000007402,-1.6633915541582036,0.009909949129833678
ENSG00000007516,-0.09248502801508673,0.28316950056647455
ENSG00000007520,-0.1795033381122086,0.027389522686079255
ENSG00000007541,-0.025889995349691004,0.6940457764257167
ENSG00000007545,0.035609191906107986,0.7140317417805166
ENSG00000007866,0.01734533018057217,0.7990963367142752
ENSG00000007908,0.3171805306627193,0.13044205377399534
ENSG00000007923,0.02681468855597497,0.47379155438592535
ENSG00000007933,0.15421082817525214,0.0028999497841444176
ENSG00000007944,0.12292566790891832,0.02835360025698399
ENSG00000007952,0.3779984230928736,0.6867996533783685
ENSG00000007968,-0.2855675501315468,0.12484043824751052
ENSG00000008018,-0.15734782424742133,0.012260991632942671
ENSG00000008056,-0.5579990588781006,0.008913638504552996
ENSG00000008083,0.07186403480575161,0.16709764096193688
ENSG00000008086,0.018420778411162558,0.775539560704973
ENSG00000008118,0.19957637489896415,0.1720779401660036
ENSG00000008130,0.14273305439052825,0.02413087305447024
ENSG00000008196,-0.3495376134921877,0.003913024699046302
ENSG00000008197,0.059228191637233314,0.7892365256724636
ENSG00000008226,0.152154756902732,0.6099101723368443
ENSG00000008256,0.013785453871914755,0.8097661887276437
ENSG00000008277,0.1428930165807512,0.5845718668969941
ENSG00000008282,-0.16876418713348434,0.004991389068126764
ENSG00000008283,0.17891301595442863,0.08614977850116884
ENSG00000008294,0.019627482773573898,0.6934889790782461
ENSG00000008300,-0.08093091973320216,0.8012875455625812
ENSG00000008311,-0.3034383167388187,0.02540379573707757
ENSG00000008323,0.006766402502823853,0.9448192064674088
ENSG00000008324,-0.06964304680417303,0.18928505808785048
ENSG00000008382,0.004147623980836061,0.9566399531564695
ENSG00000008394,0.0930448952139215,0.01285146985731282
ENSG00000008405,0.14371675843582912,0.23823121698407362
ENSG00000008438,0.4078927865019099,0.06692910650644375
ENSG00000008441,0.034202080135502744,0.7145096284215376
ENSG00000008513,-0.2943202933871654,3.9201944044385416e-05
ENSG00000008516,0.7223385356272809,0.04704370638035853
ENSG00000008517,0.4132244029330999,0.002378126271328478
ENSG00000008710,-0.15127609388358695,0.06033109726560978
ENSG00000008735,0.17664093581281667,0.7290014391489126
ENSG00000008838,0.0294432115953714,0.42553935670471066
ENSG00000008853,-0.11303076773396432,0.09918682358207032
ENSG00000008869,0.18186933535259242,0.0007659685243024384
ENSG00000008952,-0.10344223842545924,0.049103438804383955
ENSG00000008988,0.007535610616498353,0.9163867924423231
ENSG00000009307,-0.020986721756590606,0.4640556011942317
ENSG00000009335,0.043873461058942326,0.21165384171122778
ENSG00000009413,0.05245837466366935,0.3803894789579121
ENSG00000009694,0.3176733721902026,0.019923539139479876
ENSG00000009709,0.3583077984252908,0.01102674050947771
ENSG00000009724,-0.155524843617679,0.0003861505829167302
ENSG00000009765,-0.054471865358830224,0.4732346191954011
ENSG00000009780,-0.03906161188340935,0.360256957223831
ENSG00000009790,0.08151001584780819,0.4717706880182273
ENSG00000009830,0.06814276350312846,0.17700366360517406
ENSG00000009844,-0.11769342352109723,0.017387905575753804
ENSG00000009950,0.2523156484261824,0.032734674911980725
ENSG00000009954,0.011905928453445168,0.7394512193451932
ENSG00000010017,0.0021582759681976382,0.9559270002229812
ENSG00000010030,-0.22176933654411374,0.5019701960803664
